[CheckInfo]
INFO_1=2021-11-23 10:34:56 3215-347
INFO_2=2021-11-23 10:35:1 2593-428
INFO_3=2021-11-23 10:35:6 2568-518
INFO_4=2021-11-23 10:35:11 2457-433
INFO_5=2021-11-23 10:35:16 3153-422
INFO_6=2021-11-23 10:35:21 599-1055
INFO_7=2021-11-23 10:35:26 2079-330
INFO_8=2021-11-23 10:35:31 2341-1051
INFO_9=2021-11-23 10:35:36 742-203
INFO_10=2021-11-23 10:35:41 988-638
INFO_11=2021-11-23 10:35:46 1070-447
INFO_12=2021-11-23 10:35:51 251-388
INFO_13=2021-11-23 10:35:56 2897-722
INFO_14=2021-11-23 10:36:1 572-270
INFO_15=2021-11-23 10:36:6 572-270
INFO_16=2021-11-23 10:36:11 2883-387
INFO_17=2021-11-23 10:36:16 2807-435
INFO_18=2021-11-23 10:36:21 3618-382
INFO_19=2021-11-23 10:36:26 3523-463
INFO_20=2021-11-23 10:36:31 3321-390

[setup]
total=20
